word,freq,article_count,rank
u s,43501,1490,1.0
united state,20353,9662,2.0
one,18225,23535,3.0
said,17665,30168,4.0
mr trump,17408,127,5.0
donald trump,14442,11958,6.0
white house,12857,6525,7.0
say,12530,15659,8.0
even,12233,15640,9.0
new york,11317,5963,10.0
time,11316,15735,11.0
may,9367,11035,12.0
country,8496,10104,13.0
called,8462,9400,14.0
many,8237,11474,15.0
work,8111,13848,16.0
well,7730,8265,17.0
part,7689,21613,18.0
still,7637,8055,19.0
government,7624,12307,20.0
including,7280,10067,21.0
people,7214,15252,22.0
case,7055,6238,23.0
way,7025,13541,24.0
saying,6933,7609,25.0
come,6832,13714,26.0
president donald,6814,6677,27.0
first,6767,12071,28.0
made,6737,9995,29.0
last year,6488,4854,30.0
think,6476,7899,31.0
see,6330,15379,32.0
another,6199,7206,33.0
added,6170,6308,34.0
need,6091,8977,35.0
day,6064,31559,36.0
issue,5988,9028,37.0
make,5865,12964,38.0
much,5859,7245,39.0
islamic state,5822,2221,40.0
hillary clinton,5809,4334,41.0
north korea,5791,1701,42.0
show,5760,9465,43.0
group,5596,9876,44.0
plan,5536,10630,45.0
american,5498,9601,46.0
last week,5393,4477,47.0
support,5363,10876,48.0
call,5256,16579,49.0
want,5217,10059,50.0
trump said,5202,2965,51.0
prime minister,5198,3591,52.0
used,5167,10940,53.0
asked,5116,6490,54.0
democrat,5092,10084,55.0
set,4976,9887,56.0
said statement,4967,4213,57.0
washington,4959,7088,58.0
company,4853,3451,59.0
monday,4849,6856,60.0
change,4800,8346,61.0
put,4785,11537,62.0
left,4702,5673,63.0
vote,4691,8611,64.0
know,4674,11256,65.0
tuesday,4647,7865,66.0
attack,4631,6463,67.0
though,4568,8752,68.0
job,4564,4848,69.0
end,4500,22875,70.0
report,4475,13533,71.0
barack obama,4471,4190,72.0
home,4428,6798,73.0
help,4426,8850,74.0
often,4413,4076,75.0
back,4372,12666,76.5
long,4372,12548,76.5
use,4315,22345,78.0
look,4297,7448,79.0
found,4285,7269,80.0
friday,4280,7231,81.0
china,4273,2926,82.0
believe,4271,5950,83.0
two,4270,15020,84.0
effort,4251,6008,85.0
already,4238,5063,86.0
mean,4212,6894,87.0
yet,4206,4603,88.0
move,4188,9185,89.0
supreme court,4180,1948,90.0
take,4153,12790,91.0
mrs clinton,4149,15,92.0
wednesday,4138,7487,93.0
came,4129,7707,94.0
talk,4104,6827,95.0
others,4088,5108,96.0
deal,4075,6840,97.0
might,4020,5192,98.0
family,4017,3930,99.0
point,4014,8872,100.0
