rank,word,freq,article_count
1,u s,43501,1490
2,united state,20353,9662
3,one,18225,23535
4,said,17665,30168
5,mr trump,17408,127
6,donald trump,14442,11958
7,white house,12857,6525
8,say,12530,15659
9,even,12233,15640
10,new york,11317,5963
11,time,11316,15735
12,may,9367,11035
13,country,8496,10104
14,called,8462,9400
15,many,8237,11474
16,work,8111,13848
17,well,7730,8265
18,part,7689,21613
19,still,7637,8055
20,government,7624,12307
21,including,7280,10067
22,people,7214,15252
23,case,7055,6238
24,way,7025,13541
25,saying,6933,7609
26,come,6832,13714
27,president donald,6814,6677
28,first,6767,12071
29,made,6737,9995
30,last year,6488,4854
31,think,6476,7899
32,see,6330,15379
33,another,6199,7206
34,added,6170,6308
35,need,6091,8977
36,day,6064,31559
37,issue,5988,9028
38,make,5865,12964
39,much,5859,7245
40,islamic state,5822,2221
41,hillary clinton,5809,4334
42,north korea,5791,1701
43,show,5760,9465
44,group,5596,9876
45,plan,5536,10630
46,american,5498,9601
47,last week,5393,4477
48,support,5363,10876
49,call,5256,16579
50,want,5217,10059
